iter	Passed	Remaining
0	67	66934
1	77	38464
2	90	30215
3	100	24995
4	113	22628
5	124	20594
6	140	19974
7	152	18852
8	169	18685
9	179	17789
10	207	18648
11	212	17509
12	226	17216
13	232	16340
14	237	15607
15	248	15312
16	258	14923
17	271	14835
18	278	14402
19	292	14326
20	299	13939
21	306	13641
22	310	13199
23	321	13060
24	330	12898
25	340	12753
26	352	12705
27	358	12443
28	370	12392
29	379	12281
30	393	12297
31	403	12214
32	417	12246
33	426	12130
34	436	12038
35	440	11794
36	453	11800
37	468	11869
38	488	12047
39	506	12145
40	532	12464
41	607	13850
42	635	14139
43	671	14584
44	695	14763
45	710	14742
46	720	14604
47	726	14400
48	735	14276
49	746	14182
50	761	14167
51	770	14041
52	785	14041
53	799	14002
54	810	13926
55	819	13810
56	831	13762
57	836	13584
58	852	13594
59	857	13431
60	873	13444
61	885	13389
62	907	13493
63	926	13552
64	950	13674
65	977	13839
66	999	13913
67	1016	13938
68	1043	14084
69	1054	14009
70	1076	14091
71	1100	14184
72	1128	14336
73	1151	14412
74	1178	14535
75	1191	14489
76	1218	14608
77	1220	14426
78	1232	14369
79	1248	14361
80	1261	14313
81	1271	14231
82	1287	14220
83	1298	14158
84	1313	14136
85	1323	14063
86	1330	13966
87	1343	13921
88	1349	13811
89	1357	13728
90	1370	13689
91	1383	13652
92	1394	13597
93	1408	13580
94	1419	13518
95	1433	13496
96	1444	13442
97	1459	13431
98	1463	13323
99	1479	13312
100	1489	13260
101	1505	13255
102	1518	13221
103	1531	13193
104	1542	13144
105	1549	13066
106	1561	13034
107	1605	13257
108	1654	13525
109	1692	13694
110	1745	13977
111	1776	14088
112	1895	14879
113	1953	15178
114	1973	15184
115	1993	15191
116	2026	15296
117	2069	15471
118	2087	15451
119	2104	15432
120	2140	15552
121	2154	15502
122	2168	15458
123	2183	15423
124	2194	15358
125	2204	15291
126	2216	15235
127	2235	15228
128	2260	15260
129	2275	15230
130	2287	15172
131	2303	15146
132	2315	15093
133	2325	15027
134	2339	14992
135	2341	14873
136	2352	14818
137	2367	14786
138	2379	14741
139	2388	14672
140	2406	14659
141	2418	14613
142	2439	14618
